run_id	STDP-RL:AMPA:RLhebbwt	STDP-RL:AMPA:RLantiwt	STDP-RL:AMPA:RLwindhebb	STDP-RL:AMPA:RLwindanti	sim:targetedNonEM	sim:targetedRLDscntFctr	simtype:ResumeSimFromFile	sim:seeds:conn	sim:targetedRLOppFctr	critic:posRewardBias	critic:angv_bias
157	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	1.5	0.7
158	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	1.5	0.8
159	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	1.5	1.0
160	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	2.0	0.5
161	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	2.0	0.7
162	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	2.0	0.8
163	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	2.0	1.0
164	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	2.5	0.5
165	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	2.5	0.7
166	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	2.5	0.8
167	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	0.9	2.5	1.0
168	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	1.5	0.5
169	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	1.5	0.7
170	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	1.5	0.8
171	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	1.5	1.0
172	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	2.0	0.5
173	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	2.0	0.7
174	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	2.0	0.8
175	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	2.0	1.0
176	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	2.5	0.5
177	0.005	-0.005	3	3	1	0.5	results/hpsearch-2022-01-02/best/1_run_3139/synWeights_final.pkl	2542033	1.0	2.5	0.7
