post-median,post-mean,post-min,post-max,pre-median,pre-mean,pre-min,pre-max,mean-best_weights
99.8,98.99999999999999,83.3,110.1,82.0,82.8,17.0,141.0,8.64490377203132
106.2,110.24000000000001,91.6,149.3,129.0,127.4,53.0,230.0,8.626392975235802
138.5,135.16,105.9,160.1,130.0,139.4,98.0,236.0,8.63078691390683
106.4,111.46,90.8,135.9,109.0,108.4,92.0,129.0,8.626356023515962
103.2,104.0,86.8,119.0,66.0,124.4,30.0,314.0,8.625170570541842
131.2,126.83999999999999,108.6,149.1,96.0,123.6,79.0,214.0,8.613990056262836
123.4,122.6,101.5,141.2,132.0,174.0,84.0,374.0,8.608352729959744
122.3,119.82000000000001,98.8,153.0,197.0,151.4,25.0,240.0,8.604028016104342
122.1,119.54,103.4,128.9,90.0,102.2,49.0,206.0,8.639294858066851
114.6,114.7,108.1,125.5,147.0,146.6,51.0,227.0,8.642202788868019
113.0,108.08,82.0,125.0,140.0,117.0,43.0,163.0,8.605668038347956
127.2,121.1,102.6,133.0,95.0,120.0,88.0,180.0,8.608574087563909
111.8,122.74000000000001,91.6,170.0,194.0,166.2,49.0,247.0,8.607047836219646
130.9,130.64000000000001,104.0,162.0,158.0,214.2,115.0,397.0,8.615020081156533
111.2,102.1,63.9,143.6,154.0,121.8,27.0,197.0,8.624927523755659
119.9,127.31999999999998,104.1,174.2,97.0,123.8,57.0,228.0,8.629998870313656
122.3,126.7,103.4,159.3,110.0,138.0,40.0,244.0,8.630913337522088
116.1,112.34,88.7,127.4,105.0,106.0,84.0,143.0,8.627401995981991
112.5,120.35999999999999,98.9,142.0,97.0,94.8,64.0,120.0,8.618203756670217
118.4,120.12,92.6,145.7,167.0,153.2,51.0,219.0,8.610189355495892
104.9,114.8,98.4,142.7,200.0,187.8,119.0,231.0,8.619609570005473
101.6,113.9,99.3,147.1,77.0,109.0,76.0,188.0,8.615732676187967
102.7,102.47999999999999,71.4,118.1,170.0,170.0,62.0,333.0,8.625839016769195
140.8,133.11999999999998,109.3,155.6,126.0,141.0,90.0,203.0,8.607689495843381
129.7,126.66,108.0,149.3,78.0,120.8,65.0,198.0,8.596956801733535
127.5,121.82000000000001,91.9,147.7,112.0,127.2,97.0,196.0,8.582518118195892
120.2,138.08,83.7,188.9,152.0,161.8,90.0,252.0,8.587184250325263
141.3,142.98000000000002,104.3,198.3,131.0,154.0,92.0,220.0,8.585218678853463
116.3,113.28,94.4,132.1,157.0,140.6,83.0,187.0,8.57511400712566
109.9,113.02000000000001,85.5,131.1,151.0,163.8,78.0,236.0,8.566716104049693
129.3,134.88,115.1,174.1,151.0,151.8,86.0,236.0,8.559232521323793
109.5,110.68000000000002,89.6,132.0,149.0,156.6,72.0,256.0,8.559342181853792
143.1,130.72,86.5,186.7,128.0,138.6,81.0,229.0,8.547898778029605
141.4,129.14000000000001,103.7,153.0,118.0,128.6,54.0,197.0,8.53426491629732
120.4,123.21999999999998,107.3,158.1,102.0,98.4,63.0,145.0,8.536468873562097
132.6,110.9,67.9,140.1,82.0,97.2,76.0,151.0,8.526104665720272
110.7,114.38,99.1,138.2,179.0,152.0,82.0,210.0,8.518750760708135
127.2,133.95999999999998,101.8,173.2,168.0,155.8,102.0,225.0,8.504422991409484
108.0,107.46,70.2,133.4,145.0,157.2,108.0,253.0,8.507197505630625
124.0,128.82,102.6,172.6,96.0,91.4,49.0,115.0,8.530132332517027
137.0,135.83999999999997,114.3,154.0,93.0,128.0,71.0,212.0,8.504832846645531
131.4,127.26000000000002,90.2,143.1,168.0,156.0,110.0,171.0,8.51528718817555
117.6,116.97999999999999,108.7,124.9,86.0,88.2,66.0,121.0,8.52833926772479
134.1,135.2,91.2,172.9,108.0,114.0,60.0,166.0,8.530354347756141
123.4,130.06,120.3,156.7,154.0,144.6,63.0,217.0,8.537809739615433
112.8,110.55999999999999,92.8,134.7,115.0,161.6,52.0,423.0,8.523562641232457
129.4,129.45999999999998,92.1,187.4,134.0,138.6,75.0,201.0,8.520343552665745
143.4,136.14000000000001,111.9,157.7,202.0,178.0,88.0,239.0,8.53554887694727
132.5,131.84,116.5,152.5,130.0,122.4,72.0,152.0,8.521805838785228
115.1,116.14000000000001,84.7,158.0,97.0,156.0,84.0,279.0,8.51918729535699
135.9,136.45999999999998,106.8,167.7,145.0,166.2,37.0,361.0,8.511120421727448
136.9,140.7,129.9,158.8,161.0,182.8,129.0,263.0,8.498152029194392
134.4,133.2,123.0,144.4,204.0,197.8,80.0,265.0,8.50387121157877
119.1,127.38,102.0,175.3,105.0,113.8,79.0,147.0,8.51640895605587
158.0,163.04000000000002,132.8,227.0,171.0,200.0,135.0,361.0,8.518666865394884
132.3,136.86,109.6,171.1,183.0,160.0,77.0,216.0,8.5266871392872
136.2,148.16,110.9,198.8,163.0,173.8,113.0,314.0,8.540415161076718
116.8,128.34,95.3,173.5,145.0,130.8,95.0,151.0,8.539576616371516
124.4,121.1,99.8,136.6,116.0,116.6,52.0,191.0,8.541915189888968
107.4,118.47999999999999,82.4,172.9,116.0,120.8,47.0,200.0,8.535085593598987
147.2,136.16,111.5,155.2,105.0,131.4,74.0,260.0,8.524936061147455
117.9,120.22,91.4,142.0,61.0,74.0,49.0,125.0,8.531942161350859
126.4,131.44,120.3,145.2,199.0,181.0,102.0,260.0,8.52559891770579
117.6,117.22,84.4,157.9,141.0,124.8,57.0,194.0,8.526642585757914
122.9,125.84,96.7,161.1,159.0,152.8,65.0,220.0,8.502365263904045
103.5,115.38,82.2,158.0,109.0,132.8,77.0,254.0,8.490882004189471
126.9,140.94,101.5,192.6,206.0,175.0,59.0,302.0,8.496374930551905
123.1,116.75999999999999,83.0,141.7,123.0,117.8,62.0,174.0,8.49015786939046
96.1,120.56000000000002,81.1,198.2,69.0,115.2,61.0,247.0,8.454304012599952
158.9,159.24,120.7,213.6,149.0,129.6,40.0,209.0,8.446041721523862
128.3,143.4,81.4,228.9,78.0,142.6,51.0,350.0,8.440096983650621
107.8,130.15999999999997,101.6,178.9,145.0,150.8,96.0,205.0,8.432608644619076
132.4,134.84,110.7,156.3,221.0,185.0,99.0,238.0,8.432083160135083
145.0,137.00000000000003,97.3,165.9,131.0,156.4,51.0,254.0,8.418112691929649
139.4,133.88,113.1,160.5,127.0,160.6,88.0,294.0,8.416325960365628
125.6,118.4,74.9,147.5,215.0,179.6,84.0,263.0,8.416658660584636
145.2,141.42,121.0,157.1,130.0,155.6,81.0,255.0,8.410114699028776
142.6,158.18,105.0,244.9,82.0,134.4,44.0,347.0,8.394838893296662
121.3,127.97999999999999,108.7,160.4,177.0,189.0,166.0,247.0,8.41035305523839
158.1,164.68,128.2,197.0,107.0,113.2,66.0,179.0,8.420573948062959
148.5,138.68,92.2,207.2,113.0,105.8,64.0,132.0,8.41816407284406
162.7,156.5,107.0,230.7,89.0,125.2,67.0,310.0,8.417239406266624
149.8,149.44,123.2,177.6,141.0,141.0,61.0,216.0,8.425066607553946
147.9,163.14000000000001,109.1,219.6,134.0,124.6,53.0,183.0,8.443618628237113
